"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"112","23:52:30.494994","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"113","23:52:30.495951","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"114","23:52:30.498940","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"115","23:52:30.500343","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"116","23:52:30.502067","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"117","23:52:30.502986","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"118","23:52:30.505264","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"119","23:52:30.507562","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"120","23:52:30.508739","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"121","23:52:30.509784","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"122","23:52:30.510834","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"123","23:52:30.512147","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"124","23:52:30.513377","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"125","23:52:30.514741","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"126","23:52:30.517007","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"127","23:52:30.518519","host","controller","HCI_CMD","8","Sent Write Inquiry Scan Activity","","",""
"128","23:52:30.520063","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Activity)","","",""
"129","23:52:30.521938","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"130","23:52:30.522998","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"131","23:52:30.525512","host","controller","HCI_CMD","36","Sent LE Set Advertising Data","","",""
"132","23:52:30.526545","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Data)","","",""
"133","23:52:30.528063","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
"134","23:52:30.529769","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"135","23:52:30.531013","host","controller","HCI_CMD","5","Sent Write Scan Enable","","",""
"136","23:52:30.532878","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Scan Enable)","","",""
"137","23:52:30.534059","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"138","23:52:30.535460","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"139","23:52:30.660956","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"140","23:52:30.662255","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"141","23:52:30.697933","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","","",""
"142","23:52:30.699823","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)","","",""
"143","23:52:30.743384","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"144","23:52:30.744421","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"145","23:52:30.745158","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"146","23:52:30.746108","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"147","23:52:30.746885","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
