"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"156","02:04:11.920395","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"157","02:04:11.922719","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"158","02:04:11.929418","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"159","02:04:12.241513","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"160","02:04:12.243280","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"161","02:04:12.244952","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"162","02:04:12.246710","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"163","02:04:12.248809","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
"164","02:04:12.250745","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Advertising Parameters)","","",""
"165","02:04:12.264393","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"166","02:04:12.266242","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"167","02:04:12.267762","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"168","02:04:12.269506","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"169","02:04:12.271207","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"170","02:04:12.272961","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"171","02:04:12.274202","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"172","02:04:12.275773","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"173","02:04:12.277505","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"174","02:04:12.278963","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"175","02:04:12.280785","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"176","02:04:12.282019","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"177","02:04:12.284170","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"178","02:04:12.287888","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"179","02:04:12.289109","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"180","02:04:12.296917","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"181","02:04:13.192122","controller","host","HCI_EVT","26","Rcvd LE Meta (LE Advertising Report)","","",""
"182","02:04:13.193528","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"183","02:04:13.502370","controller","host","HCI_EVT","26","Rcvd LE Meta (LE Advertising Report)","","",""
"184","02:04:13.938664","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"185","02:04:13.940510","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","",""
"186","02:04:13.943652","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
