"No.","Time","Source","Destination","Protocol","Length","Info","Data Length","Data","Bytes"
"142","07:23:09.168576","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""SP""","","",""
"143","07:23:09.169814","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""6\\r""","","",""
"144","07:23:09.171101","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"145","07:23:09.172345","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""K""","","",""
"146","07:23:09.173256","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"147","07:23:09.174187","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r\\r""","","",""
"148","07:23:09.191074","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"149","07:23:09.191802","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd "">""","","",""
"150","07:23:09.251590","localhost ()","WbElectr_00:12:4a ()","SPP","19","Sent ""ATH1\\r""","","",""
"151","07:23:09.264742","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"152","07:23:09.266062","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"153","07:23:09.267319","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
"154","07:23:09.268575","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""H1""","","",""
"155","07:23:09.269803","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"156","07:23:09.271091","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"157","07:23:09.272373","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""K\\r""","","",""
"158","07:23:09.273256","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"159","07:23:09.274274","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""\\r>""","","",""
"160","07:23:09.297264","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"161","07:23:09.355170","localhost ()","WbElectr_00:12:4a ()","SPP","19","Sent ""ATS0\\r""","","",""
"162","07:23:09.363605","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"163","07:23:09.365042","WbElectr_00:12:4a ()","localhost ()","RFCOMM","15","Rcvd UIH Channel=1 UID ","","",""
"164","07:23:09.367412","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"165","07:23:09.368670","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
"166","07:23:09.370247","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""S0""","","",""
"167","07:23:09.371671","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"168","07:23:09.372937","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"169","07:23:09.390004","WbElectr_00:12:4a ()","localhost ()","SPP","18","Rcvd ""K\\r\\r>""","","",""
"170","07:23:09.391726","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"171","07:23:09.394845","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"172","07:23:09.460748","localhost ()","WbElectr_00:12:4a ()","SPP","20","Sent ""ATCAF0\\r""","","",""
"173","07:23:09.481089","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"174","07:23:09.482496","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"175","07:23:09.483748","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
"176","07:23:09.485046","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""CA""","","",""
"177","07:23:09.486289","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""F0""","","",""
"178","07:23:09.487541","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"179","07:23:09.488791","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"180","07:23:09.490989","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""K\\r""","","",""
"181","07:23:09.492557","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"182","07:23:09.507395","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"183","07:23:09.508729","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"184","07:23:09.509935","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd "">""","","",""
"185","07:23:09.564698","localhost ()","WbElectr_00:12:4a ()","SPP","22","Sent ""ATSH797\\r""","","",""
"186","07:23:09.583603","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"187","07:23:09.586162","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"188","07:23:09.587413","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""TS""","","",""
"189","07:23:09.588631","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""H7""","","",""
"190","07:23:09.590029","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""97""","","",""
"191","07:23:09.591453","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""\\r""","","",""
"192","07:23:09.608730","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""O""","","",""
"193","07:23:09.610248","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""K""","","",""
"194","07:23:09.611677","localhost ()","WbElectr_00:12:4a ()","RFCOMM","14","Sent UIH Channel=1 UID ","","",""
"195","07:23:09.612910","WbElectr_00:12:4a ()","localhost ()","SPP","17","Rcvd ""\\r\\r>""","","",""
"196","07:23:09.614193","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"197","07:23:09.672488","localhost ()","WbElectr_00:12:4a ()","SPP","23","Sent ""ATFCH797\\r""","","",""
"198","07:23:09.675402","controller","host","HCI_EVT","8","Rcvd Number of Completed Packets","","",""
"199","07:23:09.676734","WbElectr_00:12:4a ()","localhost ()","RFCOMM","15","Rcvd UIH Channel=1 UID ","","",""
"200","07:23:09.678063","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""A""","","",""
"201","07:23:09.679440","WbElectr_00:12:4a ()","localhost ()","SPP","15","Rcvd ""T""","","",""
"202","07:23:09.681287","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""FC""","","",""
"203","07:23:09.682825","WbElectr_00:12:4a ()","localhost ()","SPP","19","Rcvd ""H797\\r""","","",""
"204","07:23:09.684266","WbElectr_00:12:4a ()","localhost ()","SPP","16","Rcvd ""?\\r""","","",""
